styrk08_code	styrk08_label	sector	employments	wage_avg	wage_median	wage_q1	wage_q3	employments_m	wage_avg_m	wage_median_m	wage_q1_m	wage_q3_m	employments_f	wage_avg_f	wage_median_f	wage_q1_f	wage_q3_f
4214	Inkassomedarbeidere	A	1198	39070	38480	33350	42780	356	40200	39660	33090	44420	842	38600	38200	33620	42230
4221	Reisebyråmedarbeidere	A	4656	37490	35660	32250	40490	1437	39070	36320	31490	43870	3219	36830	35500	32400	39740
4222	Kundesentermedarbeidere	A	3734	36740	34840	30980	40130	1561	36920	34060	30150	40350	2173	36610	35480	31410	40050
4223	Sentralbordoperatører	A	1519	34480	34000	30790	37170	321	36070	34750	29950	40200	1198	34090	33890	30850	36790
4224	Hotellresepsjonister	A	9758	28800	28200	25900	31430	3081	28990	28410	25980	31430	6677	28710	28080	25830	31420
4225	Informasjonsskrankemedarbeidere	A	337	36000	36460	30030	40730	214	35960	36290	29310	40510	123	36070	36790	31740	40760
4226	Resepsjonister (ekskl. hotell)	A	9017	34400	33330	28520	39540	3890	36980	37050	30560	42620	5127	32050	31050	27600	35750
4227	Intervjuere	A	988	25910	24560	21410	29180	523	26500	25000	21780	29530	465	25170	24360	21200	28510
4229	Andre opplysningsmedarbeidere	A	834	37320	35410	29560	43080	341	36750	33250	28330	43110	493	37660	36330	30880	43080
4311	Regnskapsmedarbeidere	A	20414	41620	40000	35590	45620	4278	43880	41070	36250	48330	16136	41020	39780	35450	45000
4312	Forsikrings- og finansmedarbeidere	A	493	41470	40830	35280	46720	78	41420	NULL	NULL	NULL	415	41480	41030	35880	46620
4313	Lønningsmedarbeidere	A	1979	42660	41670	38090	46310	194	44710	42970	38450	48330	1785	42440	41600	38040	46140
4321	Lagermedarbeidere og material-forvaltere	A	36058	36840	35840	32160	40910	30096	37070	36030	32270	41190	5962	35520	35020	31620	39040
4322	Logistikkmedarbeidere	A	6691	43690	41780	35690	49300	4844	44340	42500	36000	50000	1847	41950	40000	34610	46850
4323	Transportfunksjonærer	A	6956	39690	39780	34020	46170	5259	40170	40700	34460	46860	1697	38100	37400	33100	43440
4411	Bibliotekassistenter	A	370	35310	34490	30780	39610	84	35070	NULL	NULL	NULL	286	35380	34540	31280	39970
4412	Postbud og postsorterere	A	5026	34300	34220	33140	35020	2812	34170	34140	32550	34700	2214	34480	34380	33480	35280
4415	Arkivassistenter	A	1129	38630	37580	35230	41600	260	38640	38040	34970	41600	869	38630	37580	35230	41600
4416	Personalkontormedarbeidere	A	358	44220	42710	37760	49150	34	44410	NULL	NULL	NULL	324	44200	42530	38140	49000
5111	Flyverter, båtverter	A	2761	35220	35500	28280	41150	633	36450	36210	29000	42630	2128	34830	35480	28050	40940
5112	Konduktører	A	1393	48470	50300	41860	54910	843	49570	51310	43880	55920	550	46720	48740	40520	52900
5113	Reiseledere og guider	A	2724	30600	29100	25000	34220	1195	31540	30000	25730	35000	1529	29770	28190	24700	33260
5120	Kokker	A	21103	31950	30510	26930	35280	12120	32400	30070	26870	35250	8983	31260	31200	26990	35320
5131	Servitører	A	24665	27280	26790	23710	29710	9279	27970	27160	24360	30230	15386	26790	26540	23540	29230
5132	Bartendere	A	6830	27120	26540	23710	29340	3184	28160	27490	24400	30300	3646	26130	25980	22730	28370
5141	Frisører	A	9449	29600	28650	23430	35000	719	31510	29540	24260	38770	8730	29440	28600	23350	34810
5142	Kosmetologer	A	2387	32210	30350	26570	35500	177	33330	31740	28690	36840	2210	32120	30160	26450	35350
5151	Renholdsledere i virksomheter	A	1207	35620	34680	31530	38720	332	36380	34800	31740	40480	875	35310	34600	31420	38010
5152	Husholdere	A	247	36920	36330	32680	40580	57	39850	NULL	NULL	NULL	190	36040	35580	32630	39810
5153	Vaktmestre	A	23715	36280	34990	32100	39170	21154	36470	35100	32430	39330	2561	34090	33430	29080	37400
5163	Begravelsesbyrå- og krematoriearbeidere	A	850	40160	40000	34160	44350	543	40600	40270	34610	45000	307	39310	39000	33300	43210
5164	Dyrepassere og - trenere	A	398	29660	27600	24360	32500	74	32860	NULL	NULL	NULL	324	28930	26990	24360	32000
5165	Kjøreskolelærere	A	1763	41600	39780	36050	45380	1350	42170	40000	36370	46030	413	39690	38160	35500	42490
5169	Andre personlige tjenesteytere	A	767	38080	41440	28370	44950	447	39650	42750	32460	45630	320	35100	33430	27270	42920
5211	Torghandlere	A	483	38540	36000	24980	49170	328	40030	39880	26500	51180	155	35100	31200	22980	44770
5222	Butikkavdelingssjefer	A	5613	37520	35720	33130	40150	2156	39700	37710	33520	45000	3457	36100	35000	33000	38200
5223	Butikkmedarbeidere	A	176371	30740	30230	26680	33410	61929	32060	30860	26820	35000	114442	29910	30000	26580	32910
5230	Billettselgere	A	619	36220	36620	30740	40870	228	37370	36640	30600	41210	391	35480	36560	31000	40760
5242	Demonstrasjonsselgere	A	320	33790	32480	27600	36000	104	37240	NULL	NULL	NULL	216	32130	32170	27700	34560
5244	Telefon- og nettselgere	A	5322	35620	34010	27800	40460	2931	36370	33880	27320	41460	2391	34680	34170	28320	39780
5245	Servicemedarbeidere (bensinstasjon)	A	3433	27530	26150	24310	30040	1573	28590	26740	24510	30900	1860	26570	25930	24040	29510
5246	Gatekjøkken- og kafémedarbeidere	A	14125	26890	27130	22990	29440	5396	27200	27270	23100	29580	8729	26660	26930	22860	29350
5249	Andre salgsmedarbeidere	A	2338	35020	34330	28760	39290	1206	35570	34780	28490	40470	1132	34410	34050	29230	38140
5311	Barnehage- og skolefritidsassistenter	A	97722	31190	32600	28190	33860	16347	30870	29940	25640	34150	81375	31240	32600	28510	33850
5312	Skoleassistenter	A	14383	31190	32600	27740	33090	3593	30640	29900	26270	33020	10790	31380	32600	28870	33100
5321	Helsefagarbeidere	A	107986	38050	39250	34680	42010	14641	37620	38470	33550	42530	93345	38110	39330	34900	41950
5322	Hjemmehjelper	A	14934	32850	32600	29070	36200	2744	33100	32790	29030	36710	12190	32800	32600	29080	36030
5329	Andre pleiemedarbeidere	A	83712	33680	32600	28300	38210	21068	34060	32830	28760	38480	62644	33540	32590	28130	38110
5411	Brannkonstabler	A	8670	46480	46040	42970	49460	8376	46780	46190	43200	49590	294	38960	38200	33020	44160
5413	Fengselsbetjenter	A	4210	39820	41400	34330	44870	2517	40730	41960	35810	45650	1693	38440	40450	32000	43790
5414	Vektere	A	11137	33650	32880	30530	35400	8408	34160	33090	30660	35820	2729	32050	32290	30010	34290
5419	Andre sikkerhetsarbeidere	A	4714	31270	30720	26770	35450	3009	31760	31100	27150	35720	1705	30400	29850	26050	34910
6113	Gartnere	A	7240	31130	30850	24020	35920	4852	32190	32430	25000	36910	2388	28620	27650	21930	33850
6121	Melke- og husdyrprodusenter	A	4764	28570	27630	23320	32480	3428	29290	27930	23870	32480	1336	26520	26400	20900	32480
6122	Egg- og fjærfeprodusenter	A	365	30980	29230	24360	34550	220	31680	30930	25000	35700	145	29760	26790	24240	32670
6130	Plante- og husdyrprodusenter (kombinasjonsbruk)	A	7763	27430	26010	22410	30980	5718	27640	26310	22730	31390	2045	26700	25760	21920	30300
6210	Skogbrukere	A	1024	32550	31340	26150	36810	1002	32660	31340	26390	36940	22	27540	NULL	NULL	NULL
6221	Havbruksarbeidere	A	5964	42030	41560	35140	47380	5061	42830	42330	36040	47920	903	36880	35900	31120	42180
6222	Fiskere	A	332	36750	33230	27460	43150	272	37370	33260	27600	44410	60	33940	NULL	NULL	NULL
7112	Murere	A	4721	35670	35130	31370	39560	4683	35710	35130	31440	39570	38	30740	NULL	NULL	NULL
7113	Steinhoggere	A	714	37680	36620	32390	43610	677	37680	36630	32390	44220	37	37680	NULL	NULL	NULL
7114	Betongarbeidere	A	10817	38780	37930	32480	44490	10751	38790	37940	32480	44490	66	37150	NULL	NULL	NULL
7115	Tømrere og snekkere	A	50759	34690	34270	30580	38810	50149	34730	34290	30660	38850	610	31030	32230	27780	36260
7119	Andre bygningsarbeidere	A	4655	34300	33210	30120	38340	4126	34740	33490	30200	38540	529	23930	23130	19890	27200
7121	Taktekkere	A	1473	35690	35090	31130	39460	1466	35740	35100	31150	39480	7	25220	NULL	NULL	NULL
7122	Gulv- og flisleggere	A	2071	35760	34120	31050	38220	2049	35750	34110	31050	38160	22	36690	NULL	NULL	NULL
7124	Isolatører	A	1501	36930	36270	32510	40260	1480	36990	36290	32510	40350	21	32700	NULL	NULL	NULL
7125	Glassarbeidere	A	1401	35250	34910	31320	38280	1369	35340	34910	31340	38320	32	31400	NULL	NULL	NULL
7126	Rørleggere og VVS-montører	A	17574	38750	39620	34100	43700	17328	38810	39700	34100	43750	246	34510	36200	29980	40680
7127	Kuldemontører	A	1125	41360	42670	35720	48370	1113	41440	42670	35720	48520	12	33940	NULL	NULL	NULL
7131	Malere og byggtapetserere	A	7703	34370	33290	30200	37250	7295	34440	33290	30200	37260	408	33100	34090	29230	37160
7132	Overflatebehandlere og lakkerere	A	3239	34960	35000	30850	38570	3107	35070	35020	30850	38640	132	32480	33250	27690	37000
7133	Feiere, fasaderenholdere	A	859	35390	35250	32600	38870	791	35490	35260	32600	38920	68	34230	NULL	NULL	NULL
7211	Støpere	A	400	34820	33250	31630	36130	371	35080	33330	31910	36240	29	31490	NULL	NULL	NULL
7212	Sveisere	A	6548	36870	36210	32310	40520	6366	36910	36200	32300	40590	182	35550	36670	32480	38820
7213	Kopper- og blikkenslagere	A	4600	36380	36530	32480	40590	4496	36570	36560	32500	40630	104	26830	29580	16000	34840
7214	Platearbeidere	A	4768	35320	35560	32130	38650	4688	35380	35580	32140	38680	80	31800	NULL	NULL	NULL
7215	Riggere og spleisere	A	960	41830	39670	32780	50090	924	41980	39760	32870	50280	36	37980	NULL	NULL	NULL
7222	Verktøymaker, låsesmeder	A	1940	37940	37830	34200	41920	1863	38060	37870	34400	42000	77	35040	NULL	NULL	NULL
7223	Metalldreiere	A	3316	35650	35890	32030	40600	3080	35840	36140	32240	40840	236	32860	33810	28960	36980
7231	Bilmekanikere	A	19546	35490	36000	31320	40640	19223	35590	36040	31420	40690	323	29550	32000	17770	39020
7232	Mekanikere innen flytekniske fag	A	1935	53630	49360	42160	63480	1835	54200	49900	42610	63830	100	43170	NULL	NULL	NULL
7233	Anleggsmaskin- og industrimekanikere	A	19018	39340	38610	33870	44570	18296	39560	38790	34090	44700	722	33470	34230	28220	38830
7311	Presisjonsinstrumentmakere og -reparatører	A	587	41390	39250	34480	45610	526	41970	39590	34820	46670	61	36390	NULL	NULL	NULL
7313	Gull- og sølvsmeder, gravører	A	373	35020	35160	30880	37380	173	35760	35770	31920	38890	200	34350	34490	30470	36610
7318	Vevere, strikkere mv. (innen husflidsproduksjon)	A	358	32080	31720	29550	35190	40	31760	NULL	NULL	NULL	318	32120	31940	29280	35420
7321	Førtrykkere	A	1225	38310	37280	32500	43050	689	38830	37280	32620	43260	536	37620	37260	32480	43050
