soc_code	lenket_til_norsk_yrke
49-3041.00	Landbruksmaskinmekaniker
17-3031.01	Landmåler
17-1022.00	Landmåler
17-1012.00	Landskapsarkitekt
11-1021.00	Leder
11-1011.00	Leder
29-1069.03	Lege
25-2031.00	Lektor
13-1081.00	Logistikkoperatør
29-1127.00	Logoped
53-4011.00	Lokomotivfører
53-5021.03	Los
27-4014.00	Lydtekniker
27-4011.00	Lydtekniker
49-9094.00	Låsesmed
45-3021.00	utdødd/sjelden
13-1161.00	Markedsanalytiker
11-2011.00	Markedsføringskonsulent
11-2021.00	Markedssjef
17-3027.00	Maskiningeniør
17-2141.00	Maskiningeniør
53-5031.00	Maskinist
31-9011.00	Massasjeterapeut
15-2021.00	Matematiker
53-5011.00	Matros
51-4041.00	Mekaniker
19-2021.00	Meteorolog
19-1022.00	Mikrobiolog
21-1023.00	Miljøterapeut
41-9012.00	Modell
51-7031.00	Modellbygger
51-4061.00	Modellbygger
49-3051.00	Motormann
49-3052.00	Motorsykkelmekaniker
47-2021.00	Murer
47-2022.00	Murer
25-4012.00	Museumsformidler
27-2042.02	Musiker
25-1121.00	Musikkpedagog
29-1125.02	Musikkterapeut
51-7011.00	Møbelsnekker
51-6093.00	Møbeltapetserer
47-2142.00	Møbeltapetserer
33-3031.00	Naturforvalter
17-3029.01	NDT-kontrollør
39-5092.00	Negledesigner
15-1143.00	Nettverksadministrator
15-1152.00	Nettverksadministrator
29-1069.04	Nevrolog
29-1069.05	Nukleærmedisiner
19-4011.02	Næringsmiddeltekniker
29-2081.00	Optiker
29-1041.00	Optiker
29-2091.00	Ortopediingeniør
51-9082.00	Ortopeditekniker
29-1199.05	Ortoptist
47-3016.00	Overspesialisert
47-3012.00	Overspesialisert
47-5081.00	Overspesialisert
29-1069.07	Patolog
13-1041.06	Patolog
19-3031.01	Pedagogisk-psykologisk rådgiver (PP-rådgiver)
11-3111.00	Personalsjef
11-3121.00	Personalsjef
39-9021.00	Personlig assistent
39-9031.00	Personlig trener
27-2022.00	Personlig trener
17-2171.00	Petroleumsingeniør
39-6011.00	Pikkolo
53-2012.00	Pilot
53-2011.00	Pilot
19-1013.00	Planteviter
47-2211.00	Platearbeider
33-3052.00	Politibetjent
33-3051.01	Politibetjent
33-3021.03	Politijurist
11-1031.00	Politiker
31-1015.00	Portør
43-5052.00	Postbud
43-5021.00	Postbud
21-2011.00	Prest
17-3029.09	Produksjonstekniker
17-3029.06	Produksjonstekniker
17-2199.04	Prosessingeniør
17-2112.00	Prosessingeniør
51-8091.00	Prosesstekniker
29-1066.00	Psykiater
19-3031.03	Psykolog
19-3031.02	Psykolog
21-1014.00	Psykoterapeut
29-2034.00	Radiograf
29-2099.06	Radiograf
29-1124.00	Radiograf
29-1069.10	Radiolog
27-3041.00	Redaktør
27-2012.02	Regissør
13-2011.01	Regnskapsfører
39-7012.00	Reiseleder
41-3041.00	Reiselivsmedarbeider
11-9032.00	Rektor/skoleleder
39-3092.00	Rekvisitør
37-2011.00	Renholdsoperatør
43-4171.00	Resepsjonist
43-2011.00	Resepsjonist
13-2011.02	Revisor
11-3031.01	Revisor
47-2151.00	Rørlegger
47-2152.02	Rørlegger
43-4031.02	Rådgiver i offentlig sektor
43-6011.00	Saksbehandler
41-2031.00	Salgsmedarbeider
29-1069.09	Samfunnsmedisiner
19-1041.00	Samfunnsmedisiner
19-3051.00	Samfunnsplanlegger
19-3011.00	Samfunnsøkonom
27-2042.01	Sanger
27-1027.00	Scenograf
43-9022.00	Sekretær
35-3041.00	Servitør
35-3031.00	Servitør
37-2021.00	Skadedyrbekjemper
19-1032.00	Skogbruksleder
45-4021.00	Skogsoperatør
45-4022.00	Skogsoperatør
51-6041.00	Skomaker
27-2011.00	Skuespiller
51-3023.00	Slakter
39-5091.00	Sminkør
19-3041.00	Sosiolog
11-9151.00	Sosionom
21-1022.00	Sosionom
43-5011.01	Speditør
11-3071.01	Speditør
25-2052.00	Spesialpedagog
25-2053.00	Spesialpedagog
25-2054.00	Spesialpedagog
29-1141.02	Spesialsykepleier innen psykisk helse
15-1199.11	Spilldesigner
27-2023.00	Sportsdommer
19-3094.00	Statsviter
51-9195.03	Steinfagarbeider
47-4091.00	Steinfagarbeider
47-2031.02	Stillasbygger
51-6063.00	Strikkehåndverker
53-5021.02	Styrmann
51-9195.07	Støper
51-4121.06	Sveiser
29-1141.00	Sykepleier
29-1171.00	Sykepleier
13-2021.02	Takstmann
47-2181.00	Taktekker
31-9091.00	Tannhelsesekretær
29-1021.00	Tannlege
29-2021.00	Tannpleier
51-9081.00	Tanntekniker
53-3041.00	Taxisjåfør
27-3042.00	Teknisk forfatter
27-3043.04	Tekstforfatter
51-6021.00	Tekstilrenser
51-6061.00	Tekstilrenser
49-2021.00	Telekommunikasjonsmontør
27-3091.00	Tolk
33-3021.05	Toller
53-4041.00	Trikkefører 
27-4031.00	TV-fotograf
47-2031.01	Tømrer
11-9033.00	Undervisningsinspektør
49-9064.00	Urmaker
29-1069.12	Urolog
39-5011.00	utdødd/sjelden
27-1026.00	Utstillingsdesigner
11-9141.00	Vaktmester / byggdrifter
51-6011.00	Vaskerioperatør
47-2061.00	Vei- og anleggsarbeider
33-9032.00	Vekter
51-4111.00	Verktøymaker
29-1131.00	Veterinær
51-2021.00	Vikler- og transformatormontør
53-3032.00	Yrkessjåfør
53-3033.00	Yrkessjåfør
19-1023.00	Zoolog
43-3031.00	Økonomikonsulent
11-3031.02	Økonomisjef
29-1069.06	Øyelege
